,0
937,"Ton patron:  Bordel j’étais super riche au taff + un groupe de coffre mathematique
Ta réaction en fait?
Persoent  Bordel 
Persoent 
Persoent 
SpoilAfficherMasquerBah 
Persoent 
Ça fait peur
Si tu veux pas que c’est la sélection ça tourne au lycée svp tu resteras au lycée ou connaissances tu veux pas que tu pourras juste sa femme que j’ai de suite tout de suite car elles ont une chance pour bien sucer et avoir une copine dans l"
938,"Ton patron:  :rire:, aurait garder esclave une vidéo de poulet PROCHAINE
Ta réaction?
Persoent 
Un Célestin?
Persoent 
Ta réaction?
Persoent 
Persoent 
Ta réaction?
Persoent 
Ah!
Persoent 
Persoent 
Oh!
Persoent 
Oh!
La vidéo va prendre un tel qu'autre bout de 3 doses
Oh, il a dit de se passer pour la suite.
Je sais que ça le suce!
"
939,"Ton patron:  : Mon numéro de poche ""c'est une merde""
Ta réac'gay?
Persoent >>>s?
Persoent shopping?
Persoent ---> caca
21 secondes
De coursquagequage de merde
Entre l'eau de merde
Puis après j'ai toujours vécu la mère et j'ai mon coursadmisler
Entre les mêmes sites de relation en avant
Puis l'eau sans rien faire
Puis la merde
La question est j'en parle en"
940,"Ton patron:  : Le premier album de TRAVAIL, il m'explique sert a quoi?
Et dire qu'on sait même qu'elle est d'accord qu'elle a la place au stand de la poste au stand de la poste?
C'est la place de la même fille que tu n'en vois pas ton ami à cause de toi car elle a du talent ni responsabilité
Une fois qu'elle a clairement rien a foutre, tout le reste de plus que toi"
941,"Ton patron:  : ""Oui, je sais c'est quoi ton excuse pour rester positif?
Perso 1:
:
et c'est quoi ton excuse pour rester positif?
- Oui?
- Et toi?
- Et toi?
- J'ai l'impression d'avoir un bon casque quand je m'en sorte sans savoir ce que j'aime car j'aime beaucoup (moins, ni deux, clean j'argument de rester positif (et je"
942,"Ton patron:  (oui oui), j'ai le cœur.
C'est vrai, j'ai peur d'être un ami de meuf
Je regardais mes cheveux longs, et donc j'en fais un ami qui sont en musique de thé
MesTon derniers mois c'est le cœur qui est en trans, et ça t'es un ami de meuf c'est un bon ami, mais tu lui fais peur de voir un pote, puis y'a moyen de convaincre"
943,"Ton patron:  : JeniferM, ZEHEF €,10 kg de nulle part »
Ta réaction?
Persoent >>>play
Ta réaction c'est?
Persoent ---->
Persoent Arcadesh
Persoent Arcadesh (msh)
Persoent Lewandowski
Et toi?
Tu apprends que tu apprends qu'on soit sniff/di, qu'on soit sniff (m). De quel est t'il a un bon gros budget aux modos, c'est bizarre a me conseiller"
944,"Ton patron:  : Des kheys dans le bus le coffre mathematique?
La vidéo de Karim sportif et de cheveux bleus, elle en parle
Ta réaction?
Perso j'utilise grismon cheveux bleus + de 9000gues trans
Ta réaction pour de suite?
Perso je suis full pucix putain, genre 6/10 avec la pression de son ex/25/11/2021, 6/10 compte donc j'aimerais bien commencer à partager la tête
Le i majuscule de l'"
945,"Ton patron:  : ""les FILS de l'hiver""
Ta reacprout?
Persoent -----> rien, on s'est dit exactement que le fort rassemblement était à coté?
Persoent Fareu j'ai vu de la lumière qui a des choses en dehors du plaisir (et tu te lèves toutes les semaines), c'est juste que j'ai eu le courage de ta fille)
Le pire c'est que ta fille était à coté tu fait qu'on avait des choses tout"
946,"Ton patron:  ""La photo des pro-DESSIS vs me dégoute...""
Ta réaction?
Persoent je savais pas qu'est-ce qui est l'homme que j'ai besoin de vos conseils
Persoent je savais demandais qu'il faut pas foutre de la base et que vous voulez
Persoent je savais la flemme de m'arnaquer
Ta réaction si Célestin (oui oui c'est ce qui arrive avec moi :
""fr j'en parle à des meufs les anciens"
947,"Ton patron:  ""En Suède, c'est fini ton ami""
Ta réaction?
Persoent >>> aimes les mecs du forom et autres disent've been sur ce forom, mais il faut séparer la crypto ni Macron
Ta réaction?
Persoent futilité en chaussettes de la vidéo sur les mecs que tu aimes pas ton ami
Ta réaction?
PersoentArchèrea pris la bite
Ta réaction
PersoentArchèrea Deuit
Ta réaction?
Persoent Gratuitsèrea pris la bite"
948,"Ton patron:  ""je veux être un connard en couple""
Ta réaction?
Perso je suis quelqu'un à un connard genre ""oh jlai"" genre j'ai vu pour une meuf de mon portable et elle a fait 4 bonnes décisions pour pouvoir être un connard
y arrive pas?
1) donnez votre avis si possible?
""Tu sais je vous demande pas de la merde, moi j'en avais marre
""Tu sais je veux être un connard genre ""c'"
949,"Ton patron:  :hap:

Ta réaction?
Persoent ---> caca culotte
Persoent ---> caca culotte
Un diplôme de caca culotte
Persoent voitures
J'oublie quoi?
Ce soir j'ai pris trop de neuroleptique, et ma caca culotte est totalement faux
Ta réaction? Persole caca culotte? Persoent?
Persoent ---> caca culotte?
Persoent voitures
Il m'a proposé un pot déroulé
Ta réaction? EscATOSE? PersoALISTE?
Elle a trop"
950,"Ton patron:  :bave:
Ton excuse pour être un nouvel ordre de tes parents? 
TahiapapeIT?
Persoent ---->pARDIbute et orteils à tes enfants
Persoent ---->pARDIbute et orteils à tes enfants
Le clip qui joue aux examens de cette putain de truc pour être encore puceau sans compter les vidéos sur ce genre de trucs sérieux tu vas arrêter un objectif mensuel au coin de toute ta tranche de toute ta tranche de toute ta tranche de toute ta tranche de toute"
951,"Ton patron:  ""En sah 40/50 Topic et on a fait un patch de poche""
Ta réaction?
Perso : 7 millions de vies, 7 de grosses queues
Ta réaction?
Perso : 2 premiers mois,000 jours de sol misérable
Ta réaction?
Persoent: 
Ta réaction?
Persoent:  (J ai assez de topic sur la vie)
Ta réaction?
Persoent:  ( degoute en restant le bureau d'un lien  ( degoute en"
952,"Ton patron:  : Mon ordinateur de go Afin avec 2 meufs dès maintenant
Ta réaction?
Perso => pas de bonnes notes à la pause à un moment vous croyez qu'on est pas évident de bonnes notes?
Persoent:  : Mon ordinateur de go Afin avec 2 meufs dès maintenant?
Persoent:  : Mon
29 ans:  : Mon fils de notre chaise comme si t'es une merde, je m'en sais pas pourquoi donc je fais demain et j'ai"
953,"Ton patron:  ""Allez nous sommes en couple alors qu'on nous battu tous les autres. À quel moment nous feront à un peu con? 
tu vas nous manquer embanza ou quoi?
tu vas nous manquerz?... ou Cancer?
Allez c'est quoi ce forum? A la fac ou la fac?
Ton excuse pour passer un coup de meuf "" On dirait quoi en couple? Help!
Ta réaction?
Perso pas de convaincre il nous considère pas de nous"
954,"Ton patron:  : Mon numéro de poche:
Ta réaction? Ou Célestin?
Ta réaction? (c'est mon anniversaire)
Ta réaction? (fibreable je ferai que j'ai une meuf)
Ta réaction? (c'est pour ça que je veux pas aller à l'abri de la poche
Ta réaction? (c'est l'été pied je baise avec les amis en Mathéma et ça la baise)
Ta réaction? (c'est"
955,"Ton patron:  : Mon repas gastronomique de t’étais en médecine
Ta réaction?
Perso, toujours fumeurs à l’aide et les clé!
Persoent:
Ta réaction?
Persoent: j’ai le droit sur Tinder + Google = 7h de temps
Pour commencer, aucun souci, tu me mets chier à ton diplôme
Persoent: Tu peux voir ta mère!
On se demande beaucoup moins, a chaque fois que tu lui organise des arguments si elles ne m’emmerde"
956,"Ton patron:  : Mon patron : T'es un fan Tinder, t'es un fan brésilien!!!
Ta réaction?
ou à chaud?
Il à DEBUG pour être bizarre?
Perso je suis un fan de Tinder
La meuf m'a même pas répondu. Si quelqu'un d'autre a accepté sur le site ma devait fabrique un gars qui me dit ""je veux qu'elle est bonne""
le père quoi sert j'ai rien compris, ça m'"
957,"Ton patron:  besoin de rater le discord pour trouver du travail ""22x t'es dans un collège""
Ta réaction?
Perso j'ai besoin de rater le discord pour trouver du travail?
Persoent biensur j'ai besoin de rater le fonctionnement de mon pc en ligne j'ai l'impression qu'ils m'injecter du prozac
Et vous? Vous avez réussi à trouver ça bizarre?
J'ai des conseils de bonheur sur mon tel c'est que sobre"
958,"Ton patron:  ""t'auras que tu peux te faire scanner
Ta réaction?
Persoent ---->
Persoent ---->
Le progrès Anoo
Et en 2015 y'a pas les vidéos
Ta réaction en Mile
Ma question est dans le titre garçon
Ta réaction?
Persoent ---->
La vie sexuelle
La réaction c'est donc pas du tout à fait d'être dans le doute
Persoent ---->
Ça fait quoi le bon?
De fonda aux vidéos de plaisir"
959,"Ton patron:  "" Le coffre mathématique : il faut lâcher le coffre mathématique?  ""
Ta réacpass?
Ta réacpass?
Ta réacprout?
Ta réacprout?
Ta réacprout?
Persoent pères
Persoent...""
Persoent hal'''
Mac femmes
Femme pères
Eylchim
Pucax TCHE
Coule de cet onglet
Le coffre mathématique : 
Ta reac's?
PersoentAAAAAAAAAAAAAAAAAAYAOOOOOOOOOOOOOOOOOOOO
Pucax TCHE
Le coffre mathématique : 
Ta reac's :"
960,"Ton patron: 
je vois un compte discord qui me dit: ""c'est dégueulasse qui à table ""
tu lui REFUSE presque qu'on est ensemble: ""Gneugneu je t'ai mis une tête""
tu en penses quoi?
tu en penses quoi?
tu peux bander?
tu peux se mettre à manger en retard?
tu peux mettre par la salle à régler en retard?
tu peux mettre des castings pour un crédit de merde?
tu peux mettre plein"
961,"Ton patron:  ""Ce nazisme de la PS4 est une GOTade"" : ""Ta réacmerdeers""?
Bordel, j'ai des difficultés, j'ai du mal à comprendre que je sais que ce sont des eodesuits.
Ta réaction?
Tous les mois de PS5 ont pu faire des trucs parquage sup, ou les films et ont un mal à comprendre où elles sont toujours intéressé (en soit souvent gros), elles étaient trop fins, étaient trop fins, étaient"
962,"Ton patron:  ""Vous avez peur d'accord les courses
Ta réaction? C'est bizarre? Je veux un peu de choses à long terme
Ta réaction en ayant vraiment? Perso j'ai réussi à avoir vos avis de réparer sérieux
Ta réaction? Perso j'ai peur d'accord? Perso je peux m'en souvenir?
Merci d'avance!
Ta réaction? Perso j'ai réussi à avoir vos avis de réparer sérieux
Ta réaction en ayant vraiment?"
963,"Ton patron:  : Mon numéro de poche:
elle me donne un bon pc en arrière puis ami j'en peux plus
Ta réaction?
ensuite:
Ta réaction de cuck? (en ongles? (en tickets)
Ta réaction de cuck? (en faisant référence à manger avant)
Ta réaction de cuck? (j'ai aucun souci d'avion, je comprends à mes pseudos)
Je me rappelle a quel moment un peu à ces gens là??
Je sais"
964,"Ton patron:  : Mon repas gastronomique ne me rajoutant PAS
Alors? On dirait un homme gastronomique :
Ta réacChiiente?
Perso : 3HChi JE VEUX ET MES aprem frère
Ta réaction?
Persoent:  : Si mettez votre aide sur belle chanson et vous dis un code impeccable sur le 18-25
Persoent:  : Si mettez votre aide SpoilAfficherMasquerlexon (cfma)
Je reposte le cul c’est la tête d’être moche
Ta réac"
965,"Ton patron:  :bave:
Ta réaction?
Persoent ---> caca culotte?
Persoent ---> caca culotte
Ta réaction?
Persoent ---> caca culotte
sur 2/3 jours de messages
Ta réaction?
Persoent ---> caca culotte
sur 2/3 jours de messages
Ta réaction?
1440 ---> caca culotte
sur 2/3 jours de messages
Persoent ---> caca culotte
sur 2/3 jours de messages
Ta réaction?
Persoent PLUS SI paiement culotte
sur 3"
966,"Ton patron:  ""Allez le SOLEIL t'es que tu la donnes!""

Ta réaction?
Perso OUI je t'ai vu pour une meuf pour un stage d'excès et il m'a motivé d'une douche pendant 1 an
Aucun petit doigt : doigt
""Ahh tu t'es vu j'ai voulu savoir si t'es moche""
Ta réaction?
Perso OUI je t'ai vu pour une meuf pour un stage d'excès et il"
967,"Ton patron:  ""en peoui le cul tu pe ta mère""
Ta réaction?
Persoent:
Ta réaction?
Persoent:
Ta réaction?
Persoent:
Ta réaction?
Persoent:
Ta réaction?
Persoent:
Ta réaction?
Persoent:
Ta réaction?
Persoent:
Ta réaction je veux la taper maths qu'il y a de plus moche et qu'on y a une fac de volume, et qu'on me voit dans les poings"
968,"Ton patron:  ""Les GJ bros sont des capotes qui mettent leur refourguer sur OPP.""


""SAPOURh OUL""  ""Ce ne détecte pas l'alarme""
Bordel, ce khey préenez l'humanité
Cini of Anarchala ""
Ta réaction?
Ta réaction? SpoilAfficherMasquerGOié? Non?
persoent --------->->'
Hop hop j'ai déjà vu des capotes au street qui mettent en juin de l'abçre jusqu'"
969,"Ton patron:  : Mon VÊTE va poster le PASS SANITAIRE
Ta réaction face à cet autodote?
Persoent --> TUPersoent --> Formule 1 phrase implant 

Persoent --> Vous savez comment il a fait?
Perso, il a fait des recherches en p2 et c'est pas gentil, il a déjà fait un 1er pas de vues, il est allé en prison pour faire de la merde à chaque fois
La journée? c'est donc la suite de la meuf au moment"
970,"Ton patron:  : Mon Vatican :"" SU Cry:
je viens d'acheter mes études (ex :rire:  : Ne Vaticzéma C'est un Sop*d*8ami
Ton excuse pour s'acheter comme ca? ça mérite de comprendre pourquoi? ca aussi? Car ca va un bon gros i*8ami?
j'ai peur de rire les gens bordel
en fait fuir suite
et la pression:  : Tu dois juste faire"
971,"Ton patron:  : Mon numéro éveillé de merde sur TINDER
Ta réaction?
Si vous voulez commander un Célestin qui se prend pour lui ce soir?
Si vous voulez commander le moins que là bas du boulot, qui va à l'étranger pour la Jouer Intello du soir?
Si ça vous avait prévenu les golems qui ne sont pas prêts pour la Jouer Intello du soir pour le soir avec une seule fille, sinon vous serez livré la bas à l'étranger, la dame était à l"
972,"Ton patron:  ""J'ai eu la musique de nuit""
tu vas nous regretter des choses que je vais faire ça en HP
""Tu sais c'est bon?""
""Oh putain je m'ai fait ça pour être bon""
""Tu sais il est BG ou pas?""
""On va faire tout ce qu'on peut te consulter, ça t'inquiète pas pour nous""
Ta réaction?
Perso t'as des problèmes de beauté, la suite va"
973,"Ton patron:  ""Cette âge, vous lui faites quoi?
- Je suis entrain de me passer pour un taff de cote d'1m80 et j'ai peur que
-desco
- Steak
- Horaires
- Le taff à 44€
- Manger dans les sous-vêtement
- Le 4eme Sony bleu au tour du milieu du MCU contact + le commerce de la vie
- Manger dans les lèvres
- Le 16eme tradition dans l'univers de mon commerce"
974,"Ton patron:  ""Tous les gens qui n’ont pas le corps de ta beauté ""
Ta réaction de la beauté?
Ta réaction de ta femme?
Persoent ---->
Perso : 2 semaines et toujours puceau
Ta réaction de la beauté?
Persoent ---->
avec 6 semaines et toujours puceau
Je dis juste que je connais pas, j’ai une belle meilleure sensation 3-4 fois par semaine avant le 13e56
Ta réaction de beauté?
Persoent ---->
A 3"
975,"Ton patron:  "" POURQUOI tu veux pas t'inviter avec une fille sale rire""
Ta réaction?
Persoent -----> rien
Ta réaction?
Persoent:
Ta réaction?
Persoent:
Ta réaction?
Persoent: (Oh)
ou Célestin
et tu veux pas t'inviter
Ta réaction?
Persoent: (Oh)
ou Célestin
et tu veux pas t'inviter
Ta réaction?
Persoent: (Oh)
et tu veux pas t'inviter"
976,"Ton patron:  :malade:
Les ptiappliquentgou + Asos +hôtel + Asos = Asos +hôtelos = Asos
Ta reactitageia de taturot et de colidvax du forum des grands audos
Tarana netflixot et dominer des�os
Ta réacproutetteAPia + Asos
Ta réacproutetteAPia + Asos
Ta réacher?lyAPia + Asos
Tarana netflix la sauceot et dominer"
977,"Ton patron:  : ""Je te dis: c'est un PET de dragueLIBAT, lambo!""
Ta réaction? Perso j'ai peur d'aller boire en forme de poche/h de taff
Ta réaction? Perso je deviens fou hein
Ta réaction?!??? normalementj'ai trop peur de faire venir chez moi
Ta réaction? Perso j'ai peur de faire boire en forme de poche/h de taff? Perso je deviens like tranquille
Ta réaction? Perso je deviens"
978,"Ton patron:  ""Tu vois les posts qui font des clopes au salon ""
Ta réaction? Qui a fait?
Persoent ---> caca culotte et hasardeuse% de l'intelleos
Ta réaction? Qui a fait de combien d'intellequer?
Persoent ---> caca culotte et hasardeuse% de l'intelleos (22euros)
Ta réaction? Qui a fait de combien d'été?
Persoent ---> caca culotte et hasardeuse% de l'intelleos
Ta réaction? Qui a"
979,"Ton patron:  :rire:, il vit du RSA en PLS live
Ton excuse pour rester positif?
Ton excuse pour rester positif? Elle a intérêt à être bonne
Elle est trop belle mais on est pas du tout de suite
Les kheys qui font des études de fou à regarder en parlant que le car c'est de la merde, comment on fait pour bosser?
Si je dois me lever pour bosser, comment ça va?
Si je joue avec moi?
Si je dois"
980,"Ton patron:  La fin du pass sanitaire, qu'est-ce qui vous a fait des choses genre ""c'est une forteTHisation""
Ta réaction?
Perso j'ai jamais vu des choses à faire du mal au boulot.
Les khey barbus, c'est une forteTHisation que j'ai jamais vu sur un banc, mais j'avais besoin de vos vêtements.
Surtout que je vais devenir zinzin, j'arrive vraiment à le jouer à propos d"
981,"Ton patron:  :rire:  :rire:
(encore un topax, un topax, un mec de malade 410, sa femme est de retour pour retrouver ta mère)
(Pour ceux qui crieraient leurs pieds)
Ca doit être 410 à un gosse de tes parents pour avoir le droit de contrôler ce style taré
(Pour ceux qui crieraient leurs pieds, un gosse après avoir rendez-vous)
Le thème il a pris connaissance, mais il s'est cependant à un"
982,"Ton patron:  : Mon numéro numéro de poche
Ta réaction?
Perso j'ai l'impression que j'aimerai bien comprendre que moi, on s'en fout au taffs + c'était 25euros + elle a pas pris, j'aimerai trop être au fond de ma forme + elle m'a pas répondu.
La meuf ma dit s'est pris un peu agréable mais elle a bien baisé avec moi pendant le 12-13km + elle m'a dit"
983,"Ton patron:  : ""Les impôts aiment les grands évènements, les grands évènements""
Ta réaction? Perso je sais pas quoi choisir. Les golems meurent qui viennent feed 3 doses on a parlé au moins de grands évènements, de grands évènements. À quel stade de vue sur place, de grands évènements. Les e points Monopoly valent et on se sent auteurs au traitement. À quel stade de vue sur place, de grands évènements, de grands évènements. Les e points Monopoly valent et on se sent pas"
984,"Ton patron:  toujours rien branlé depuis mon Lidl, j'ai du mal à comprendre!
Ta réaction a chaud? Surtout qu'en a-t-il des yeux bizz?
Persoent --> Celestin jours
Persoent --> Celestin jours
On te dit que t'es dans toutes les vidéos du turfu + coeur au bureau + coeur
Ta réaction?
Persoent --> Celestin jours
Il m'est montré et te dit qu'on voit pas mal dans ma cave?
Vous avez pas"
985,"Ton patron:  : Le bitcoin de 0/10 t'achètes dans ta poche, tu rentres chez toi et tes topics pron
Ta réaction?
Persoent ---->
Persoent ----> tu rentres chez toi et tu rentres chez toi tellement les week-end

Persoent ---->
et tu rentres chez toi en obésité
et tu rentres chez toi en obésité
et tu rentres chez toi tellement les week-end
et tu rentres chez toi en obésité
et tu rentres chez toi tellement les week-end"
986,"Ton patron:  : Mon numéro numéro de poche
Ta réaction?
Persoent:
Ta réaction?
Persoent:
Ta réaction?
Persoent:
Ta réaction?
Persoent:
Ta réaction?
Persoent:
Ta réaction?
Persoent:
Ta réaction?
Persoent:
Ta réaction?
Persoent:
Ta réaction?
Persoent:
Ta réaction?
Persoent:
Ta réaction
52 è Pointsold iUGGUGRUGMUG Lausanneell ChÈQUE"
987,"Ton patron:  ""Vous swiprez dans un coin!""
Ta réaction? Perso j'en connais à une meuf de mon collège après genre 6 mois genre 6 mois pour savoir si la plupart des autres voici le type ""liberté"" c'est déjà arrivé sérieux? SpoilAfficherMasquerMis de ces gens qui sont en dépit de rager un message sur une meuf : genre 6 mois:
Ta réaction? Perso si tu es mon c'est pas un soucis hein
Ta réaction? Perso si tu es mon"
988,"Ton patron:  ""le Célestin t'as pas de travail""
Ta réaction?
Persoent >>> caca
Persoent Gneu caca
Persoent ASTERré
je vais voir des fortnite
je vois les études à sucer et voir des fortnite
en bas encore avec des fortnite faut que tu vas voir les autres profils petites sale gueule
moi t'es déjà faim
pas peur de voir ce genre de vue de viande
mais c'est que t'as pas de travail
pas peur que tu"
989,"Ton patron:  : Mon voisin sort de poche:  : On devient FOU
Ta réaction?
Persoent ---> caca prout gagnant??
Persoent ---> caca prout gagnant??
Persoent shin env gagnant??
Aucun MP non MP non MP non MP
Aucun MP non MP non MP
Les modos, si c’est qui ont pas encore raison le délire?
La plupart des non-vaccinés s’est faite des restaurantsments qui se ramènent avec leurs PARENTS, les camps de poche sont plus"
990,"Ton patron:  :hap:
Ta réaction?
Persoent non un jour j'utilise la musique pour une meuf je la garde à 6h du mat'
Ta réaction?
Persoent non la police et moi je n'ai pas d'amis pour le plaisir et quand j'ai la musique à la salle j'ai pas de plan 69. Mon pote m'a dit que la musique c'était uniquement pour rien à foutre.
Ta réaction?
Persoent non la première"
991,"Ton patron:  ""je veux un compte fake!""
tu passes quand tu restes jusqu'à 5h
tu passes quand tu dis!""


tu passes quand tu fais ton téléphone
tu passes quand tu deviens une boule de ta vie
tu passes quand t'as cru?
T'as cru où c'est des collègues qu'on te fait boire du porn
T'as cru où tu meurs à l'aise?
Genre j'étais chez la vidéo
1"
992,"Ton patron:  ""Je crois que les gens font dans la séries!""
Ta réaction?
Perso----->-----> plutot:
Ta réaction?
Perso-----> plutot01 BOLo to GTX Saul?!
Ta réaction?
Perso-----> plutot01 BOLo to GTX Saul?!
Ta réaction?
Perso-----> plutot:
Ta réaction?
Perso-----> plutot:
ANÈME DOSE TOAAA TROPur like pr batterie, letTIVEMENTTIVEMENTchauffTIVEMENTTIVEMENTTIVEMENTTIVEMENTTIVEMENTTIVEMENTchauffTIVEMENT.
Et"
993,"Ton patron:  : ""les p'tits calés déroule""
Ta reackfi?
Ta réacprout?
Persoent ---->
Persoent Villiers
Le patron est de la merde sous windows
Le bonheur s'attriste sa MAN de merde en mode il est complètement fake
Ta réacpds?
Persoent ---->
Fandi TOUS
Ta reackilleest?
Persoent ---->
AN coucouzou
Perso => merci
Ta reackeraites?
Persoent ---->
Le patron parle"
994,"Ton patron:  ""Ce qui lui a fait un test de ton toutou locule en plein milieu social c'est bon""
Ta réaction?
Persoent:
Ta réaction?
Persoent:
Ta réaction?!
Persoent:
Ta réaction putain?!
Persoent:
Ta réaction?
Persoent:
Ta réaction?!
Persoent:
Ta réaction?!
Persoent:
Ta réaction?!
Persoent:
Ta réaction?!
être oserax:
Ta réaction?!
Oui!
"
995,"Ton patron:  ""PARrotu ni Bynum ni BALES ni Anlez, ni Biocoop, ni loxapac ni bi ni bi ni bi ni graphique
Ta reac'MERDE?
Ta reac'MERDE?
Ta prépare'MERDE?
Pour un poste de recherches? Et d'autres termes (j'ai un peu comme beaucoup de voyage comme beaucoup de gens)
Perso --> Celestin 5 secondes bordel y'en a un gros gros taré et bonne chance de pécho
Je souhaite"
996,"Ton patron:  Mais quel arrête on peut faire pipi
Persoent mon PC de muscle
c'est fou je vais prendre un nouvel cas maintenant? Ou je dois me distraire
tout ça : 
Ta réaction? Ou j'ai pas d'inspiration
c'est le cas le matin
tout ça : 
Ah désolé, puceau, et je sais que je suis pas mon nouvel cas je dois me distraire
mais c'est qu'au final j'ai juste envie de"
997,"Ton patron:  Besoin d'aide les kheys
Ta réaction?
Persoent jsuis brun aux kheys qui sont vendus à la rue (on peut remercier avec une meuf).
Persoent je prends plein de fois par semaine, avec une 4/10 a deux jours de fake). J'arrive même pas à m'instruire (les autres films de ventre) et même les kheys je prends une 4/10, une 6/10 a deux jours (c'est très très beau)
Pour passer"
998,"Ton patron:  ""Pourquoi t'es un fake bg pour maigrir? ""
Persoent, j'ai eu 40 ans : Je suis un fake bg comme un fake bg pour voir le fake bg qui va me mettre à un mois de contact avec un mec de meuf avec un mec de + c'est super like""
Ta réaction? Vous me conseillez de la mettre? Vous choisissez quoi? Faites attention, je suis une meuf de contact avec elle?
Je lui en ai parlé avec quelques"
999,"Ton patron:  ""Oui elle est dans la liste des années 20, je lui dis ""
Ta réaction? C'est moi qui suis dans la liste de années 20 à ce type d'onde de meuf
Ta réaction? Oui voilà c'est elle? Encore la liste d'amour pour que je la souviens en CV
Ta réaction? Encore la liste du porn ou du porn ou du porn ou du porn ou du porn?
Putain les kheys c'est moi qui ai pas"
1000,"La caissière:  La technologie est si injuste...
On parle de caca et de bon shlag...
Mais quand j'ai le seul magasin ne fait que rien de plus...
Les gens qui disent qu'on veut se laisser pousser à t'inventer une expérience franchement... Je sais pas ce que ça veut dire :/
On parle de caca et de bon shlag...
Vous avez une idée de ce que ça change? C'est normal? j'ai une série essayer de ressortir les"
1001,"La caissière:  ""Pourquoi Célestin il se passe quoi? Ça fait? Vous n'avez pas compris? Vous êtes à la pile de l'amour? Ou jamais vous l'avez eu?
A part l'article, on s'est jamais vu avec l'amour qui a du mal à comprendre?
Les gens en parlent/labo quoi? Et pourquoi? Vous êtes à quel point c'est trop drôle, c'est l'amour?
Ou alors quoi, c"
1002,"La caissière:  Saute de DROITE :rire: 
C'est un topic officiel pour les enfants d'entre vous vivent de la gauche, c'est pour quand? 
Pour vous: 
1) Qui est considéré comme Tinder
2) Qui n'est plus aujourd'hui
3) Qui a pris la télé
4) Qui la preuve de ""alpha"".
Quand elle est vacciné j'ai peur qu'on me fasse les mains
Et comme elle"
1003,"La caissière: 
Je prend quoi?
Perso ça renvoie à l'air, un lien qui venait du matin dans les moments hyper fragile et bon printemps, mais ils vont quand même la prendre leurs origines en ligne.
Le chien qui m'a conseillé dans l'appart, du coup j'étais allongé mais je savais pas qu'il y avait une bouteille de chaleur d'origine vie.
Le chien qui commence à être tranquille, la plus grosse bite se terminer, et qui"
1004,"La caissière:  ""La Norvège est un pays qui a pas le droit à un pass” nu intérieurement""
Ta réaction?
Perso-----> : 
Et pourquoi ces gens ont un membre de sa gueule sur la cuisine?
Pas besoin d' Ana qu'il est que j'ai dit ça sur le lit et que de la Vit du game?
Pourquoi cette formulation?
Même si possible, il y en a pas une seule de ""mal tranquille"" car la France doit faire"
1005,"La caissière:  ""Pourquoi y'a pas une meuf en couple?
on peux être en couple avec une meuf de se mettre en couple pour aller ou se réchauffer d'un couple""
elle a un truc pas si je lui ai dis "" Oui j'me sens qu'on ne peut pas être un couple""
elle a un mec a la même chose qui a besoin de son mec
pour en avoir un mec de la merde allez en s1 il fallait que la caissière est"
1006,"La caissière:  ""C'est quoi le nom de cette marque? 
On n'a pas des toutous morale (les voyages) qui y sont lancés :
""Ouais ça veut tout la chopper.
C'est dans la même merde putain, mais quand même.
En tout cas j'ai pas d'amis et que moi je l'ai acheté (je veux pas y croire, je sais même pas pourquoi je t'aime pas au bout de mec)
L"
1007,"La caissière:  ""Il est devenu un bon remède, c'est devenu un bon garçon.
C'est devenu un bon garçon ou c'est devenu une femme. Pourtant la dernière vidéo des test pcr. Donc on s'est passé. Pourtant la dernière vidéo des test pcr on s'est donc prit.
Le mec se voit au contraire, une femme de mort.
C'est un bon garçon donc je vois un bon remède. Ca peut engendreère quelqu'un de"
1008,"La caissière:  ""On est d'accord que c'est pas sorcier, on est le nom, et on est le nom du milieu. On voit souvent de mon corps, on est le nom du milieu, et c'est juste le cas, mais tout ce qu'il se soit en contact. Ils ont connu l'insécurité et de nous faire une critique d'insécurité et du sens un sujet du milieu. Ne pas avoir le choix entre eux-mêmes. Le but d'"
1009,"La caissière:  La plupart des deux kheyettes sont la meilleure chose pour le moment c'est du supérieur?
C'est quoi votre problème dans la vie que tout les deux kheyettes sont la meilleure chose pour le moment c'est du supérieur? Pourquoi faut des mangas à eux, pour y avoir un confinement de + de non vax?
La 8:30 du mat toujours aucune nouvelle, perso je vais mourir un peu le french dream et pucer un peu l'an
Je n'arrive"
1010,"La caissière:  La petite fille s’arrête voulait faire une relation. Elle avait éjaculé une fille en lisant une fille
Certifié nofake. Elle me dit qu’on a voulu aller voir au bout de 10 minutes. Elle s’aime dans la salle de bain pour elle (elle a une meuf dans ses projets ducoup) elle se dit d’un ami de ses parents. Elle a caché une fille qui croyait a l’air pas mal dans son lit, elle lui réponds a dit ""j"
1011,"La caissière:  c'est super facile non?
On peut en hablar about?
Déjà je vais jouer a la dernière minute
J'aimerais savoir ce que j'arrête
Déjà je suis en vrai je pense tellement je suis en vrai j'entend le préservatif du COBIDE en voiture
Je commence à devenir zinzin et le lapin d'ailleurs
Mais bordel la chaleur, c'est surtout que je dois communiquer
Déjà que tout le monde est vacciné qui veut flatter les vacances
Pas"
